"ADM3_PCODE","ADM3_EN","pop_u5","n_children","n_clusters"
"MG53519010","Amboasary Atsimo",5774.7333984375,27,2
"MG53519030","Behara",5406.96630859375,0,0
"MG53519050","Tanandava Sud",2466.70849609375,17,1
"MG53519070","Sampona",1309.75622558594,0,0
"MG53519090","Ifotaka",4269.439453125,0,0
"MG53519110","Tranomaro",2425.27197265625,13,1
"MG53519130","Maromby",1464.08447265625,0,0
"MG53519150","Elonty",1422.41394042969,0,0
"MG53519170","Esira",2041.63256835938,8,1
"MG53519190","Mahaly",2610.71557617188,12,1
"MG53519210","Manevy",1942.13745117188,0,0
"MG53519230","Tsivory",1459.7216796875,0,0
"MG53519250","Marotsiraka",1685.49548339844,11,1
"MG53519270","Tomboarivo",297.682525634766,0,0
"MG53519291","Ebelo",3415.64599609375,0,0
"MG53519292","Ranobe",858.36181640625,0,0
"MG53519050a","Berano",1105.52514648438,0,0
"MG53519090a","Mahabo",472.183990478516,12,1
"MG52516011","Ambovombe",20202.8515625,43,3
"MG52516012","Tsimananada",2054.11889648438,11,1
"MG52516013","Erada",4139.49169921875,0,0
"MG52516014","Anjeky Ankilikira",3867.17016601562,19,1
"MG52516031","Ambanisarika",7453.40576171875,8,1
"MG52516032","Analamary",3104.47387695312,0,0
"MG52516033","Ambohimalaza",4994.3662109375,0,0
"MG52516050","Ambonaivo",3255.76342773438,0,0
"MG52516071","Maroalomainty",2362.06762695312,0,0
"MG52516072","Maroalopoty",2372.62866210938,0,0
"MG52516091","Ambondro",7878.42724609375,11,1
"MG52516092","Ambazoa",3737.55249023438,0,0
"MG52516111","Sihanamaro",10790.787109375,8,1
"MG52516112","Marovato Befeno",3385.7353515625,0,0
"MG52516130","Antanimora Atsimo",8635.0751953125,22,2
"MG52516151","Andalatanosy",7243.29296875,7,1
"MG52516152","Ampamata",2133.38940429688,0,0
"MG52516170","Jafaro",9815.75,15,1
"MG52516190","Imanombo",8198.9140625,0,0
"MG52516130a","Andoharano",1710.85949707031,0,0
"MG52516170a","Andragnanivo",3715.50756835938,0,0
"MG51507030","Ankiliabo",3855.1298828125,0,0
"MG51507050","Amborompotsy",5239.27197265625,24,1
"MG51507070","Ankilizato",1619.91931152344,11,1
"MG51507010","Ampanihy Ouest",12703.2890625,17,1
"MG51507090","Maniry",1391.11572265625,0,0
"MG51507110","Antaly",1160.42810058594,0,0
"MG51507130","Ankilimivory",1557.20874023438,0,0
"MG51507150","Ejeda",9125.83984375,26,2
"MG51507170","Belafike Haut",2161.72509765625,0,0
"MG51507190","Beahitse",7792.78759765625,0,0
"MG51507210","Gogogogo",3382.7470703125,0,0
"MG51507230","Androka",7386.2216796875,0,0
"MG51507250","Vohitany",3247.58740234375,0,0
"MG51507270","Beroy Atsimo",1531.3349609375,0,0
"MG51507290","Fotadrevo",8832.390625,24,1
"MG51507310","Itampolo",10924.5244140625,0,0
"MG51507290a","Anavoha",848.603820800781,0,0
"MG51507310a","Androipano",848.111694335938,0,0
"MG51507110a","Beara",815.499145507812,0,0
"MG52518010","Morafeno Bekily",943.139282226562,11,1
"MG52518031","Ankaranabo Nord",559.08740234375,0,0
"MG52518032","Besakoa",400.666320800781,0,0
"MG52518050","Anja Nord",346.106964111328,0,0
"MG52518070","Antsakoamaro",394.473876953125,0,0
"MG52518091","Ambatosola",1195.51953125,0,0
"MG52518092","Tsirandrany",366.446075439453,18,1
"MG52518110","Tsikolaky",937.154052734375,13,1
"MG52518130","Manakompy",946.259094238281,0,0
"MG52518151","Ambahita",3407.76684570312,19,1
"MG52518152","Maroviro",1431.97106933594,0,0
"MG52518170","Belindo Mahasoa",2735.650390625,18,1
"MG52518190","Beteza",982.303894042969,0,0
"MG52518210","Tanandava",2651.82543945312,0,0
"MG52518230","Bekitro",7946.3837890625,13,1
"MG52518251","Beraketa",3569.20825195312,10,1
"MG52518252","Vohimanga",1290.22827148438,0,0
"MG52518270","Bevitiky",2328.9013671875,0,0
"MG52518290","Anivorano Mitsinjo",1363.68994140625,0,0
"MG52518031a","Mikaikarivo ambatomainty",358.994750976562,0,0
"MG52513010","Beloha",5971.36474609375,15,1
"MG52513030","Tranovaho",3318.1484375,3,1
"MG52513050","Kopoky",5073.9384765625,13,1
"MG52513070","Marolinta",3781.15258789062,17,1
"MG52513091","Tranoroa",4835.98583984375,8,1
"MG52513092","Behabobo",2768.29614257812,0,0
"MG52513091a","Ambatotsivala",2280.4033203125,0,0
"MG52513010a","Mahaenegne",2987.439453125,0,0
"MG51506011","Betioky Atsimo",3338.07055664062,0,0
"MG51506012","Sakamasay",897.02734375,0,0
"MG51506013","Ambatry Mitsinjo",960.065979003906,0,0
"MG51506014","Ankazomanga Ouest",1064.55883789062,0,0
"MG51506015","Maroarivo Ankazomanga",1775.17541503906,0,0
"MG51506030","Beantake",1865.30517578125,0,0
"MG51506050","Masiaboay",3102.5625,0,0
"MG51506070","Antohabato",2618.84033203125,0,0
"MG51506090","Tameantsoa",1728.61706542969,0,0
"MG51506111","Tongobory",1000.20379638672,11,1
"MG51506112","Besely",550.174377441406,0,0
"MG51506113","Vatolatsaka",985.235534667969,0,0
"MG51506130","Ankazombalala",4072.55322265625,19,1
"MG51506150","Bezaha",2444.75952148438,0,0
"MG51506170","Manalobe",362.268920898438,0,0
"MG51506191","Andranomangatsiaka",621.050415039062,0,0
"MG51506192","Ankilivalo",753.178039550781,0,0
"MG51506210","Soamanonga",1255.13000488281,14,1
"MG51506230","Fenoandala",863.850158691406,0,0
"MG51506251","Soaserana",605.006774902344,0,0
"MG51506252","Marosavoa",660.7900390625,0,0
"MG51506270","Salobe",960.765991210938,10,1
"MG51506290","Tanambao Haut",725.520812988281,0,0
"MG51506311a","Savazy II",1796.42504882812,0,0
"MG51506312","Antsavoa",198.075790405273,0,0
"MG51506313","Montifeno",431.307983398438,0,0
"MG51506330","Lazarivo",2538.6689453125,0,0
"MG53517010","Betroka",650.785766601562,0,0
"MG53517030","Tsaraitso",1453.45812988281,8,1
"MG53517050","Naninora",193.342926025391,0,0
"MG53517070","Ambalasoa",5441.98291015625,0,0
"MG53517090","Ivahona",1646.72448730469,0,0
"MG53517110","Analamary",757.5087890625,10,1
"MG53517130","Ianabinda",2860.66674804688,16,1
"MG53517150","Benato Toby",2637.94921875,0,0
"MG53517170","Mahabo",5241.7666015625,0,0
"MG53517190","Beampombo I",786.243957519531,7,1
"MG53517210","Jangany",1970.07495117188,9,1
"MG53517230","Mahasoa Est",932.088134765625,0,0
"MG53517250","Bekorobo",1457.38647460938,0,0
"MG53517270","Iaborotra",500.610382080078,0,0
"MG53517291","Isoanala",3719.0859375,12,1
"MG53517292","Beampombo II",965.688903808594,20,1
"MG53517293","Nanarena Besakoa",800.29345703125,0,0
"MG53517310","Ianakafy",2004.69323730469,0,0
"MG53517331","Andriandampy",1232.591796875,0,0
"MG53517332","Sakamahily",517.078063964844,0,0
"MG53517350","Ambatomivary",2578.09204101562,14,1
"MG25213010","Farafangana",8220.4990234375,20,2
"MG25213030","Vohimasy",4057.27587890625,0,0
"MG25213050","Anosivelo",3400.8671875,0,0
"MG25213070","Anosy Tsararafa",4284.9794921875,16,1
"MG25213090","Vohitromby",6977.3330078125,0,0
"MG25213110","Ivandrika",825.695434570312,0,0
"MG25213130","Manambotra Atsimo",5111.8095703125,0,0
"MG25213150","Mahavelo",1292.81579589844,0,0
"MG25213170","Mahafasa Centre",3069.19604492188,16,1
"MG25213190","Amporoforo",5917.51513671875,18,1
"MG25213210","Iabohazo",2310.1533203125,17,1
"MG25213230","Tangainony",1975.00341796875,0,0
"MG25213250","Beretra Bevoay",3049.9609375,0,0
"MG25213270","Ambohigogo",2959.14404296875,0,0
"MG25213290","Maheriraty",1525.78161621094,18,1
"MG25213310","Mahabo Mananivo",3268.94775390625,18,1
"MG25213330","Ambohimandroso",1799.5947265625,0,0
"MG25213350","Ankarana Miraihina",6027.16259765625,0,0
"MG25213370","Evato",1432.3701171875,0,0
"MG25213390","Etrotroka Atsimo",6425.4560546875,11,1
"MG25213410","Ambalavato Nord",3147.89013671875,18,1
"MG25213430","Efatsy",1615.77014160156,0,0
"MG25213450","Tovona",2686.76684570312,0,0
"MG25213471","Ambalatany",1543.19897460938,0,0
"MG25213472","Namohora Iaborano",971.447387695312,0,0
"MG25213490","Sahamadio",1861.74145507812,0,0
"MG25213510","Fenoarivo",4061.87573242188,0,0
"MG25213530","Antseranambe",1266.56127929688,0,0
"MG25213551","Ihorombe",8605.6982421875,0,0
"MG25213552","Ambalavato Antevato",2091.86889648438,0,0
"MG25213570","Vohilengo",1139.31384277344,0,0
"MG25213590","Marovandrika",1310.67529296875,0,0
"MG23206011","Ifanadiana",1406.42541503906,5,1
"MG23206012","Antaretra",1881.54309082031,0,0
"MG23206030","Tsaratanana",5007.3583984375,7,1
"MG23206051","Ranomafana",1316.72961425781,0,0
"MG23206052","Kelilalina",907.497436523438,0,0
"MG23206071","Androrangavola",1465.08618164062,7,1
"MG23206072","Marotoko",837.849731445312,0,0
"MG23206090","Ambohimiera",4036.42431640625,0,0
